enemy0_champion,enemy1_champion,enemy2_champion,enemy3_champion,enemy4_champion,gameId,teammate0_champion,teammate0_championDaysSinceLastPlayed,teammate0_championPoints,teammate0_playerPastWeekLoseStreak,teammate0_playerPastWeekWinRate,teammate1_champion,teammate1_championDaysSinceLastPlayed,teammate1_championPoints,teammate1_playerPastWeekLoseStreak,teammate1_playerPastWeekWinRate,teammate2_champion,teammate2_championDaysSinceLastPlayed,teammate2_championPoints,teammate2_playerPastWeekLoseStreak,teammate2_playerPastWeekWinRate,teammate3_champion,teammate3_championDaysSinceLastPlayed,teammate3_championPoints,teammate3_playerPastWeekLoseStreak,teammate3_playerPastWeekWinRate,teammate4_champion,teammate4_championDaysSinceLastPlayed,teammate4_championPoints,teammate4_playerPastWeekLoseStreak,teammate4_playerPastWeekWinRate,win
59,27,238,145,63,2805576486,40,0,231408,4,0.25,81,10,106454,1,0.8235294117647058,164,448,10505,2,0.2972972972972973,127,535,1790,2,0.75,77,83,104153,2,0.52,True
222,117,64,134,164,2805577020,58,44,37952,2,0.7777777777777778,81,10,106454,1,0.8333333333333334,40,31,174099,3,0.4444444444444444,26,117,112677,2,0.3939393939393939,107,416,32366,2,0.5384615384615384,True
21,13,157,555,145,2805589263,77,83,104153,2,0.5185185185185185,9,427,10388,4,0.25,202,10,46408,6,0.3333333333333333,24,87,5121,5,0.4444444444444444,26,117,112677,2,0.3939393939393939,True
110,157,37,240,36,2805595729,77,83,104153,2,0.5,92,1007,188,1,0.875,2,50,14248,4,0.2222222222222222,236,53,176301,3,0.42857142857142855,267,436,38250,1,0.0,False
114,23,236,5,412,2805692256,8,119,4772,0,1.0,21,387,60132,0,1.0,77,83,104153,2,0.5357142857142857,91,338,103493,1,0.8333333333333334,40,119,153339,2,0.625,True
105,40,119,254,75,2805698390,77,83,104153,2,0.5517241379310345,7,50,508841,2,0.5333333333333333,157,392,130113,1,0.7058823529411765,145,2,146171,5,0.18867924528301888,267,22,75105,3,0.2903225806451613,True
238,203,44,89,90,2805733501,91,40,127196,6,0.275,12,490,15656,4,0.28888888888888886,498,5,21862,2,0.5555555555555556,77,83,104153,2,0.5333333333333333,516,476,5494,1,0.75,True
412,202,57,106,69,3057431239,267,11,34876,6,0.4,145,0,72666,3,0.25,5,105,16475,1,0.0,79,0,2749229,3,0.225,98,18,204277,3,0.5,False
4,516,81,40,106,3057449270,75,114,16770,3,0.5714285714285714,498,49,11731,3,0.15873015873015872,7,137,46608,2,0.625,99,1,319601,2,0.38461538461538464,64,15,139763,2,0.3333333333333333,True
202,267,103,58,59,3057461204,266,84,143048,3,0.36666666666666664,498,28,39573,3,0.23529411764705882,43,90,46605,1,0.6363636363636364,141,0,98891,2,0.0,350,129,2583,2,0.3333333333333333,False
245,37,498,75,64,3057510370,25,37,33988,5,0.4583333333333333,45,10,48956,4,0.42857142857142855,222,0,409683,1,0.75,141,0,98891,2,0.5,62,1,158174,4,0.2682926829268293,True
223,80,24,40,222,3057529226,99,56,9385,3,0.3333333333333333,18,0,52465,1,0.9,267,55,19768,0,1.0,141,0,98891,2,0.6,75,26,71868,3,0.2727272727272727,True
11,98,99,16,67,3059842554,222,68,11501,1,0.0,412,4,72112,3,0.1724137931034483,54,10,36275,4,0.2727272727272727,64,15,139763,2,0.5,157,22,29501,1,0.0,False
157,24,145,12,84,3059846809,64,15,139763,2,0.5714285714285714,143,0,101863,3,0.3448275862068966,103,0,930399,4,0.20833333333333334,240,2,210465,1,0.8,81,127,68711,2,0.6153846153846154,True
143,103,119,32,27,3059861694,99,6,257022,3,0.4230769230769231,202,15,30559,2,0.6,64,15,139763,2,0.625,517,54,10288,1,0.6666666666666666,39,10,47519,2,0.6666666666666666,True
238,143,51,13,120,3059868915,201,1,64140,3,0.5,75,14,95091,1,0.5,67,134,81345,2,0.4,86,3,105077,3,0.3333333333333333,141,0,98891,2,0.5555555555555556,False
161,86,7,28,81,3059895275,201,10,513866,2,0.5,266,2,294257,2,0.6666666666666666,22,0,129545,2,0.16216216216216217,106,34,25803,2,0.6,157,0,146811,2,0.325,True
266,412,161,498,23,3060946923,122,27,74164,5,0.13333333333333333,45,42,41093,5,0.08333333333333333,99,5,60657,3,0.5,113,133,22467,2,0.6,236,0,43442,6,0.17647058823529413,False
29,90,120,113,89,3060949607,141,0,98891,2,0.625,24,1,83276,3,0.5,555,22,16205,3,0.5555555555555556,81,0,95860,3,0.6086956521739131,53,70,15560,1,0.6,True
45,254,44,107,18,3060954184,106,34,25803,2,0.6153846153846154,143,22,97677,3,0.4444444444444444,13,73,32002,1,0.5,92,6,29034,3,0.6666666666666666,222,37,22132,3,0.4,True
107,117,24,62,67,3060960996,78,133,2132,1,0.7142857142857143,99,125,28437,4,0.4090909090909091,141,0,98891,2,0.5454545454545454,266,0,48802,5,0.0,81,82,96027,6,0.11538461538461539,False
43,32,145,58,62,3060962689,143,6,74172,1,0.8333333333333334,67,114,102384,6,0.1320754716981132,122,121,32684,2,0.47368421052631576,64,15,139763,2,0.5833333333333334,101,86,12480,1,0.6,True
22,53,92,99,60,3060965063,13,131,2651,0,1.0,120,133,14226,0,1.0,81,28,299371,4,0.47058823529411764,59,5,6887,2,0.6428571428571429,117,32,38528,1,0.5,True
412,102,518,22,122,3060976970,23,0,570928,2,0.48148148148148145,103,13,25722,1,0.5,64,15,139763,2,0.65,236,5,83040,7,0.2903225806451613,267,11,142870,3,0.5882352941176471,True
105,18,89,254,41,3060980730,24,5,31048,1,0.75,63,0,135259,1,0.7777777777777778,59,5,6887,2,0.5882352941176471,55,133,2229,1,0.7333333333333333,236,111,8651,2,0.7222222222222222,False
69,141,145,111,86,3060982293,39,119,31382,2,0.7,64,15,139763,2,0.6111111111111112,99,18,39894,0,1.0,497,133,11615,4,0.2037037037037037,498,19,151429,2,0.631578947368421,True
43,115,32,67,238,3060984410,8,63,106820,2,0.38235294117647056,516,33,10913,2,0.3142857142857143,64,15,139763,2,0.631578947368421,143,18,330463,2,0.6,110,25,28974,3,0.29545454545454547,True
40,115,23,120,236,3062075171,517,52,19503,2,0.19402985074626866,6,50,48133,3,0.3,37,10,102798,1,0.6,145,30,52110,2,0.48148148148148145,64,15,139763,1,0.6666666666666666,True
99,23,81,163,6,3062099470,119,46,88367,0,1.0,350,23,19934,1,0.64,122,1,26378,2,0.4444444444444444,518,4,95112,5,0.22857142857142856,141,0,98891,1,0.6086956521739131,True
24,145,55,555,17,3062100490,64,15,139763,1,0.6363636363636364,267,13,570311,4,0.4666666666666667,105,131,8137,4,0.4,202,12,56442,2,0.5555555555555556,107,5,65369,1,0.6666666666666666,False
60,2,63,25,81,3062135848,80,131,21091,2,0.5555555555555556,161,118,159219,4,0.34285714285714286,350,8,19031,1,0.5833333333333334,18,27,17800,4,0.45454545454545453,106,34,25803,1,0.5416666666666666,False
104,122,101,81,98,3062164362,64,15,139763,1,0.52,245,131,38147,0,1.0,18,66,12789,2,0.3333333333333333,53,131,2822,3,0.625,86,41,343853,2,0.6666666666666666,True
134,43,254,223,222,3067470686,145,0,30467,3,0.4074074074074074,64,15,139763,1,0.0,111,124,2283,1,0.0,54,84,143631,3,0.6153846153846154,4,122,520684,3,0.6875,False
238,163,23,79,202,3067486762,222,36,50512,3,0.625,14,43,111075,5,0.5294117647058824,350,120,10782,2,0.10344827586206896,64,15,139763,1,0.5,127,93,94374,2,0.5833333333333334,True
5,75,517,67,412,3067514977,238,3,611166,3,0.4782608695652174,222,1,40524,3,0.25806451612903225,267,119,12569,4,0.2857142857142857,62,68,53308,2,0.6875,64,15,139763,1,0.6666666666666666,True
81,254,39,43,222,3067526209,24,31,16929,3,0.2702702702702703,202,15,142260,1,0.6666666666666666,103,32,256434,3,0.5,25,72,2483,3,0.4230769230769231,64,15,139763,1,0.75,True
81,412,11,136,58,3067643646,133,50,38605,2,0.30434782608695654,111,110,9465,8,0.1875,64,15,139763,1,0.8,51,88,31839,2,0.3181818181818182,115,14,39173,2,0.6363636363636364,True
33,101,99,51,67,3067771376,22,2,856807,1,0.8181818181818182,412,0,375265,2,0.8181818181818182,64,15,139763,1,0.8333333333333334,103,6,147451,2,0.6,59,11,46820,6,0.4,True
15,111,4,517,20,3067892013,2,81,22015,3,0.5384615384615384,41,64,1180477,3,0.2894736842105263,119,3,702235,2,0.5833333333333334,64,15,139763,1,0.8571428571428571,40,31,68780,2,0.75,True
13,28,150,161,222,3067939030,4,116,3257,3,0.09859154929577464,25,4,75646,1,0.0,75,9,98118,2,0.0,104,34,52307,1,0.75,67,0,452898,1,0.75,False
98,32,117,67,1,3067984284,80,48,12007,0,1.0,55,1,561623,0,1.0,432,2,369666,1,0.6363636363636364,64,15,139763,1,0.7777777777777778,15,101,12735,3,0.6,True
103,161,122,202,421,3068010244,245,83,63699,4,0.2702702702702703,117,9,157306,3,0.42857142857142855,110,54,6374,3,0.5833333333333334,68,28,59169,2,0.6666666666666666,141,0,98891,1,0.7,False
103,10,202,40,114,3068025448,64,15,139763,2,0.6363636363636364,222,87,3099,3,0.3103448275862069,23,60,723068,3,0.5652173913043478,50,114,10282,1,0.5,99,94,47719,4,0.2,False
29,111,24,238,77,3068039251,85,124,6457,1,0.8,106,34,25803,2,0.6666666666666666,161,4,194928,1,0.8333333333333334,55,30,115352,2,0.65,15,121,16816,3,0.11235955056179775,True
122,76,157,15,44,3068042233,266,110,49605,5,0.07964601769911504,69,18,7426,3,0.5789473684210527,145,61,37205,2,0.4,26,124,11533,4,0.3076923076923077,141,0,98891,2,0.6153846153846154,False
122,64,81,25,111,3068044934,86,54,45925,2,0.6428571428571429,90,85,157287,3,0.41379310344827586,37,13,327425,2,0.5,203,22,159964,2,0.26666666666666666,29,108,9086,2,0.5,True
81,121,51,44,23,3068065654,15,39,21800,4,0.3793103448275862,64,15,139763,2,0.6666666666666666,43,12,93259,1,0.75,350,3,18953,3,0.5,517,39,6609,6,0.3181818181818182,True
268,59,518,81,223,3068546411,29,53,33622,6,0.0,64,18,139763,2,0.625,51,17,65465,4,0.1232876712328767,143,126,34176,2,0.3870967741935484,67,71,33780,4,0.35294117647058826,False
164,120,22,238,25,3068574800,64,18,139763,2,0.5882352941176471,81,5,102847,2,0.4444444444444444,267,124,18988,3,0.375,27,59,57251,3,0.25,157,1,158211,2,0.3611111111111111,False
103,421,412,122,81,3068596534,64,18,139763,2,0.6111111111111112,10,125,42540,1,0.13274336283185842,99,3,460730,1,0.625,111,31,23289,5,0.6,22,7,31876,2,0.75,True
22,240,99,11,117,3068613487,163,6,73393,2,0.4838709677419355,14,70,315561,3,0.375,54,0,827928,3,0.35294117647058826,64,18,139763,2,0.631578947368421,202,104,110652,1,0.7894736842105263,True
15,238,54,41,254,3068649065,222,14,21729,3,0.5,111,9,81470,3,0.44,102,2,505819,3,0.4444444444444444,64,18,139763,2,0.5714285714285714,82,105,34833,3,0.2608695652173913,False
51,412,84,113,39,3068661470,245,55,107881,3,0.2647058823529412,67,62,464167,2,0.2222222222222222,64,18,139763,2,0.6,201,8,186025,1,0.0,2,16,44443,2,0.203125,False
80,25,122,498,103,3068692373,105,2,168691,5,0.21428571428571427,42,10,65019,2,0.47619047619047616,82,1,46541,4,0.4444444444444444,64,18,139763,3,0.5,497,124,34557,4,0.43333333333333335,False
51,26,141,163,68,3068696365,28,121,432,4,0.43478260869565216,267,102,125814,5,0.4,236,115,53289,2,0.3333333333333333,82,101,7929,4,0.4166666666666667,518,4,130626,3,0.3,False
498,26,82,50,59,3068703250,77,2,104797,5,0.375,103,2,48034,1,0.5,53,3,114267,4,0.24242424242424243,202,35,67270,1,0.8,24,91,1665,3,0.3548387096774194,False
15,114,115,40,19,3068723770,64,18,139763,5,0.36,29,126,7775,3,0.23404255319148937,117,87,49132,3,0.2619047619047619,33,9,5720,5,0.4666666666666667,112,0,877636,5,0.23529411764705882,True
99,122,26,202,2,3069004009,63,56,19153,1,0.6666666666666666,18,23,31615,1,0.5,39,125,36593,2,0.4074074074074074,85,99,94453,1,0.6,64,18,139763,5,0.34615384615384615,True
143,22,427,39,13,3069108856,555,46,13825,2,0.4,55,124,28610,2,0.5555555555555556,92,125,260865,4,0.36363636363636365,81,23,310182,1,0.75,64,18,139763,5,0.2962962962962963,False
238,222,82,267,104,3069148158,6,72,80941,3,0.5882352941176471,55,69,2835,4,0.4166666666666667,43,1,227479,2,0.0,64,18,139763,5,0.2857142857142857,51,105,129464,3,0.5,False
421,74,45,555,22,3069192934,37,115,13868,3,0.23684210526315788,92,0,686199,6,0.23255813953488372,55,8,495104,4,0.3225806451612903,81,1,67534,1,0.625,64,18,139763,5,0.27586206896551724,True
31,141,105,99,21,3069212559,64,18,139763,5,0.3,119,3,205994,1,0.8571428571428571,82,1,14692,2,0.21311475409836064,161,5,692966,5,0.0875,84,1,248533,1,0.625,True
22,30,33,82,555,3069238927,55,1,874939,2,0.5217391304347826,26,13,68440,4,0.1590909090909091,78,82,6177,2,0.5789473684210527,64,18,139763,5,0.2903225806451613,81,46,138877,4,0.38461538461538464,False
110,245,126,5,99,3069267910,17,47,50905,1,0.29411764705882354,31,8,23968,3,0.45454545454545453,238,27,15228,4,0.1836734693877551,350,5,10142,0,1.0,222,121,19153,5,0.28125,True
80,81,25,6,77,3069296523,61,125,142,1,0.0,75,4,154383,4,0.4166666666666667,11,3,24141,5,0.25806451612903225,222,121,19153,5,0.2727272727272727,412,1,355153,3,0.5,False
105,10,89,28,18,3069313263,266,0,46482,1,0.6666666666666666,64,18,139763,5,0.2647058823529412,84,1,162603,4,0.3793103448275862,412,0,94860,3,0.09523809523809523,202,0,181834,5,0.26666666666666666,True
104,8,106,202,267,3070414791,6,71,9739,3,0.2765957446808511,64,18,139763,5,0.2571428571428571,117,117,107190,1,0.6086956521739131,161,120,32156,7,0.3076923076923077,67,1,575424,6,0.42857142857142855,True
157,114,77,81,432,3070441456,64,18,139763,5,0.2777777777777778,145,119,38596,2,0.4827586206896552,7,21,15952,2,0.3157894736842105,82,25,106128,3,0.17647058823529413,37,96,55611,4,0.14102564102564102,True
18,45,75,64,98,3070461157,141,0,99940,5,0.2972972972972973,8,11,53227,4,0.2,89,74,16302,2,0.27450980392156865,119,0,1161606,4,0.45454545454545453,555,17,17056,1,0.9285714285714286,True
6,29,63,113,518,3070466157,412,7,415837,3,0.42857142857142855,145,56,35466,5,0.3333333333333333,64,18,139763,5,0.2631578947368421,58,1,88449,1,0.0,90,8,49098,3,0.42857142857142855,False
58,15,266,238,432,3070483771,82,24,28710,7,0.34615384615384615,161,5,720410,5,0.15625,555,1,204677,2,0.3333333333333333,498,11,129793,2,0.3333333333333333,64,18,139763,5,0.23076923076923078,False
6,64,90,236,43,3070511525,245,94,177988,3,0.36363636363636365,141,0,99940,4,0.225,497,2,213856,3,0.375,48,94,6818,1,0.0,15,8,45953,5,0.43478260869565216,False
39,90,42,412,64,3070535965,119,8,203826,2,0.42857142857142855,80,3,632307,4,0.5,141,0,99940,3,0.24390243902439024,43,97,6457,3,0.3076923076923077,99,0,20466,3,0.6111111111111112,True
77,82,34,412,145,3070547191,64,18,139763,3,0.2619047619047619,8,99,49450,1,0.5,150,101,9631,1,0.7272727272727273,15,94,74697,1,0.7777777777777778,111,40,2962,2,0.625,True
22,202,518,20,38,3072203344,161,1,374712,3,0.2558139534883721,43,118,2218,6,0.5,412,0,203066,0,1.0,81,1,303786,4,0.3103448275862069,64,18,139763,3,0.27906976744186046,True
67,81,141,55,432,3072250356,99,6,13649,0,1.0,114,15,27928,1,0.6666666666666666,64,18,139763,3,0.29545454545454547,145,36,7565,2,0.6363636363636364,91,85,6765,0,1.0,True
111,421,36,61,51,3072265540,86,57,45925,3,0.28888888888888886,120,8,80163,1,0.6,91,93,32928,2,0.65,67,35,25418,0,1.0,37,120,56246,0,1.0,True
106,39,236,24,350,3072294463,18,121,5205,1,0.5,16,4,193492,4,0.125,112,21,276790,3,0.18604651162790697,48,80,155345,5,0.3076923076923077,86,57,45925,3,0.2608695652173913,False
115,62,51,245,101,3072324852,64,18,139763,3,0.2553191489361702,222,8,40570,6,0.21875,201,50,2789,2,0.3333333333333333,164,28,4686,2,0.2857142857142857,103,0,2668656,4,0.12,False
412,90,145,121,58,3072339248,15,41,15863,1,0.7272727272727273,99,121,27333,2,0.2727272727272727,238,105,23496,3,0.5555555555555556,39,46,103773,2,0.4583333333333333,64,18,139763,3,0.25,False
75,136,11,119,53,3072371418,39,48,4602,4,0.3,222,121,19153,4,0.22448979591836735,121,112,32824,10,0.12195121951219512,101,41,11611,1,0.9090909090909091,45,26,48727,1,0.1927710843373494,False
412,18,136,43,28,3072379880,157,11,324024,4,0.09090909090909091,498,103,96184,2,0.23529411764705882,82,121,4730,3,0.22641509433962265,141,0,99940,4,0.22,497,16,93417,1,0.8333333333333334,True
81,13,79,84,555,3072387045,63,1,168899,2,0.3076923076923077,28,121,432,4,0.19230769230769232,67,2,630677,4,0.08823529411764706,157,34,976831,2,0.10638297872340426,58,1,8156,7,0.3125,False
202,412,107,157,79,3072392514,498,103,96184,2,0.23529411764705882,82,121,4730,3,0.2222222222222222,34,5,255248,4,0.2727272727272727,266,74,11523,2,0.42857142857142855,141,0,99940,4,0.21568627450980393,False
83,164,412,103,145,3074009631,131,66,41724,2,0.16901408450704225,24,96,149198,4,0.09090909090909091,267,98,492,1,0.0,64,18,139763,5,0.26666666666666666,81,6,162564,5,0.46153846153846156,False
51,350,91,43,76,3074009843,25,0,326252,6,0.21875,27,75,18431,3,0.15254237288135594,141,0,99940,4,0.35714285714285715,99,107,9956,5,0.25,81,12,56847,5,0.0963855421686747,False
99,51,103,254,268,3074011528,223,119,10139,1,0.625,145,8,145006,2,0.14666666666666667,350,53,23294,1,0.6666666666666666,106,37,25803,4,0.3103448275862069,238,48,4417,1,0.7692307692307693,False
85,350,143,32,157,3074015197,43,119,8048,2,0.6666666666666666,15,117,30179,4,0.5263157894736842,5,108,37454,3,0.375,86,57,45925,6,0.21875,4,4,672120,1,0.5833333333333334,True
22,45,113,98,67,3074016856,157,106,56562,6,0.4090909090909091,86,57,45925,6,0.24242424242424243,99,18,162237,3,0.1875,20,69,32934,3,0.42857142857142855,4,75,201170,5,0.14545454545454545,True
82,41,32,63,145,3074027352,201,62,114267,1,0.5,236,16,7513,0,1.0,161,2,55260,1,0.75,86,57,45925,6,0.2647058823529412,254,56,20610,6,0.23684210526315788,True
